,Number,Merge,Text Content,Document,Codes,id
64,15:4,4,,Flensburg-Mobilitätsplan-2017.PDF,"experts-practitioners-planers, feedback / discussion, private business / economy, round table, ",Flensburg-Mobilitätsplan-2017.PDF_4
65,15:5,5,,Flensburg-Mobilitätsplan-2017.PDF,"citizen workshop / citizen forum, citizens and wider public, experts-practitioners-planers, feedback / discussion, ",Flensburg-Mobilitätsplan-2017.PDF_5
66,15:6,6,,Flensburg-Mobilitätsplan-2017.PDF,"feedback / discussion, survey, young and children",Flensburg-Mobilitätsplan-2017.PDF_6
67,15:7,7,,Flensburg-Mobilitätsplan-2017.PDF,"citizen workshop / citizen forum, senior citizens",Flensburg-Mobilitätsplan-2017.PDF_7
68,15:8,8,,Flensburg-Mobilitätsplan-2017.PDF,"citizens and wider public, press / marketing / public relations / communication",Flensburg-Mobilitätsplan-2017.PDF_8
69,15:9,8,,Flensburg-Mobilitätsplan-2017.PDF,"communication / transparency, online communication, ",Flensburg-Mobilitätsplan-2017.PDF_8
70,15:10,9,,Flensburg-Mobilitätsplan-2017.PDF,"consultants, ",Flensburg-Mobilitätsplan-2017.PDF_9
71,16:1,1,Das Konzept fußte auf zwei Formen der Beteiligung: Bürgerforen vor Ort s,FrankfurtRheinMein-Mobilitätsstrategie-2020.pdf,"citizen workshop / citizen forum, citizens and wider public, increase user acceptance / legitimacy",FrankfurtRheinMein-Mobilitätsstrategie-2020.pdf_1
72,16:2,2,"owie der Möglichkeit, sich unab- hängig von diesen Terminen jederzeit auch online ein- bringen zu können. ",FrankfurtRheinMein-Mobilitätsstrategie-2020.pdf,"citizens and wider public, increase user acceptance / legitimacy, online communication, ",FrankfurtRheinMein-Mobilitätsstrategie-2020.pdf_2
73,16:3,3,"nterner Fachaustausch
Die Mobilitätsstrategie ist ein gemeinsames Produkt aller Mitarbeiterinnen und Mitarbeiter des Regionalverbands. Ziel war es, die Perspektiven aller Fachrichtungen im Haus in den Erstellungsprozess einfließen zu lassen. Hierzu gehören neben den Fachabteilungen auch die Bereiche Personal, Finanzen und Kommunikation. Zu diesem Zweck wurden in der ersten Phase der Mobili- tätsstrategie interne Gespräche mit den Abteilungen des Verbands geführt, in denen sich über die möglichen Inhalte einer Mobilitätsstrategie für die Region Frank- furtRheinMain ausgetauscht wurde. So gelang eine ganzheitliche Herangehensweise, welche die inhaltliche Qualität dieses Strategie anhob.",FrankfurtRheinMein-Mobilitätsstrategie-2020.pdf,"experts-practitioners-planers, feedback / discussion, interviews, regional actors, ",FrankfurtRheinMein-Mobilitätsstrategie-2020.pdf_3
74,16:4,4,"Die Mobilitätsstrategie sollte von Beginn an die bereits bestehenden Handlungsansätze und Aktivitäten in der Region einbeziehen. Bilaterale Austauschgespräche mit relevanten Akteuren trugen zu mehr Wissen und ei- nem besseren Verständnis über die jeweiligen Struktu- ren, Aufgaben und Tätigkeiten des Gegenüber bei. Und es gab wertvolles Feedback zu den bis dahin erar- beiteten Inhalten der Mobilitätsstrategie, zudem wur- den Perspektiven einer zukünftigen Zusammenarbeit ausgelotet. Mit rund 30 Personen wurden Expertenge- spräche geführt.",FrankfurtRheinMein-Mobilitätsstrategie-2020.pdf,"experts-practitioners-planers, feedback / discussion, interviews, ",FrankfurtRheinMein-Mobilitätsstrategie-2020.pdf_4
75,16:5,5,"In kleinen, moderierten Runden diskutierten bis zu zehn Teilnehmende rund 90 Minuten lang zu drei ausge- wählten Themenfeldern. Die Fachakteure sollten dabei möglichst konkret inhaltliche Ziele ableiten und gege- benenfalls auch Zielkonflikte benennen, die sich daraus ergeben können. In einer Schlussrunde wurde das Themenspektrum nochmals breit geöffnet: Welche weiteren inhaltlichen Ziele sollten aus Sicht der Teil- nehmenden auch Eingang in die Mobilitätsstrategie FrankfurtRheinMain finden? Die Diskussion und die Ziele aus der jeweiligen Schlussrunde flossen als Grund- lage in die Themenfelder der nächsten Runden ein.",FrankfurtRheinMein-Mobilitätsstrategie-2020.pdf,"experts-practitioners-planers, ideation / innovation, round table, ",FrankfurtRheinMein-Mobilitätsstrategie-2020.pdf_5
76,16:6,6,,FrankfurtRheinMein-Mobilitätsstrategie-2020.pdf,"regional actors, ",FrankfurtRheinMein-Mobilitätsstrategie-2020.pdf_6
77,17:1,1,"Arbeitskreis VEP
Der Planungsprozess wurde von einem projektbegleitenden Arbeitskreis unterstützt, der 16 mal getagt und alle wesentliche Schritte begleitet hat.
Mitglieder des Arbeitskreises waren:
• Vertreter/innen der im Verkehrsausschuss vertretenen Fraktionen des Freiburger Gemeinderates
• die Freiburger Verkehrs AG (VAG)
• Vertreter/innen der folgenden Vereine und Verbände:
· Allgemeiner Deutscher Automobilclub (ADAC)
· Allgemeiner Deutscher Fahrradclub (ADFC)
· Arbeitsgemeinschaft Freiburger Bürgervereine (AFB)
· Bund für Umwelt und Naturschutz Deutschland (BUND)
· Einzelhandelsverband Südbaden (EHV)
· Industrie- und Handelskammer Südlicher Oberrhein (IHK)
· Verkehrsclub Deutschland (VCD)
• aus der Stadtverwaltung:
· Referat für Stadtentwicklung und Bauen
· Stadtplanungsamt
· Geschäftsstelle Gender Mainstreaming",Freiburg-VEP-2020.pdf,"experts-practitioners-planers, networks and associations, project management, working group",Freiburg-VEP-2020.pdf_1
78,17:2,2,"Gemeinderat
Der Gemeinderat hat im Juni 1998 (G-98/053) Vorgehensweise und Arbeits- programm zur Erarbeitung des Verkehrsentwicklungsplans (VEP) festgelegt. Seitdem wurden alle wesentlichen Ergebnisse der VEP-Bearbeitung in Form von Drucksachen zusammengefasst und im Gemeinderat bzw. Verkehrsaus- schuss vorgetragen und diskutiert (siehe Kapitel 2.2 „Bearbeitungsschritte“). Mit dem Beschluss des Gemeinderates vom April 2008 (G-08/031) wurde die Aufstellung des VEP abgeschlossen.",Freiburg-VEP-2020.pdf,"advisory board, Committees representing public interests, feedback / discussion, ",Freiburg-VEP-2020.pdf_2
79,17:3,3,"Informationsveranstaltungen
Zur Information der Bürgerschaft wurden mehrere Veranstaltungen durchgeführt. Bei der ersten wurden Ende 2002 die Ergebnisse der Analyse vorgestellt und Perspektiven für zukünftige Verkehrsentwick- lungen aufgezeigt.",Freiburg-VEP-2020.pdf,"citizens and wider public, communication / transparency, exhibition / event / presentation, ",Freiburg-VEP-2020.pdf_3
80,17:4,4,Bei einer weiteren Bürgerinformation im September 2007 wurde der Entwurf des VEP der Bürgerschaft vorgestellt und diskutiert.,Freiburg-VEP-2020.pdf,"citizen workshop / citizen forum, citizens and wider public, communication / transparency",Freiburg-VEP-2020.pdf_4
81,17:5,5,"Veröffentlichung im Internet
Viele Schritte zur Erarbeitung des VEP wurden im Internet veröffent- licht. So waren der komplette Analysebericht, aktuelle Zwischen- ergebnisse, die Verzahnung mit dem FNP und der gesamte Entwurf des VEP 2020 dort der Bürgerschaft zugänglich.",Freiburg-VEP-2020.pdf,"citizens and wider public, communication / transparency, online communication, ",Freiburg-VEP-2020.pdf_5
82,17:6,6,"eteiligung der Region und Behörden
Die wesentlichen verkehrlichen Projekte des VEP wurden bereits 2005 im Rahmen der ausführlichen Beteiligung von Umlandgemeinden und Behör- den zum FNP 2020 abgestimmt. Für den VEP als informelle Planung ist ein förmliches Beteiligungsverfahren nicht vorgesehen. Trotzdem ist es ange- sichts der regionalen Verflechtungen im Verkehr sinnvoll, die Städte und Gemeinden des Umlandes sowie relevante Behörden und Institutionen zu beteiligen. Der Entwurf des VEP wurde deshalb den Gebietskörperschaften der Region und den relevanten Behörden und Institutionen zugeleitet, die Ergebnisse wurden in den Endbericht eingearbeitet",Freiburg-VEP-2020.pdf,"Committees representing public interests, decision-makers / political authorities, increase user acceptance / legitimacy, municipal employees / members of the public administration, ",Freiburg-VEP-2020.pdf_6
83,17:7,7,"Die Projektleitung für den Verkehrsentwicklungsplan lag beim Garten- und Tiefbauamt (GuT). Wegen des hohen Abstimmungs- und Diskussions- bedarfs – auch mit anderen Fachdisziplinen – erstreckte sich die Bear- beitung über mehrere Jahre. Mit der Erarbeitung des VEP wurde das Ingenieurbüro R+T Topp, Skoupil, Huber-Erler aus Darmstadt beauftragt",Freiburg-VEP-2020.pdf,"consultants, municipal employees / members of the public administration, ",Freiburg-VEP-2020.pdf_7
84,18:1,1,"Die Bürgerbeteiligung zur Bestandsanalyse wurde bereits im Juni 2014 durchgeführt und ausgewertet. Im Rahmen dieser Abendveranstaltung stellten die Gutachter erste Ergebnisse der Bestandsanalysen und das weitere Vorgehen zur Entwicklung des VEP vor. Im Anschluss daran konnten die Teilnehmenden aktiv ihre Meinung in den Prozess einbringen. An verschiedenen Ständen zu den Themen Kfz-, Rad- und Fußverkehr wurde den Teilnehmenden die Gelegenheit gegeben, eigene Ideen, Potenziale sowie konkrete Konflikt- und Problempunkte oder Themen zu benennen, die dann im weiteren Verlauf von den Planern untersucht und eingearbeitet wurden.",Fröndeberg-VEP-2015.docx,"citizen workshop / citizen forum, citizens and wider public, communication / transparency, ",Fröndeberg-VEP-2015.docx_1
85,18:2,2,Verkehrsentwicklungsplan Fröndenberg/Ruhr 2030,Fröndeberg-VEP-2015.docx,"consultants, ",Fröndeberg-VEP-2015.docx_2
86,19:1,1,,Fulda-VEP-2018.pdf,"citizen workshop / citizen forum, citizens and wider public, feedback / discussion, ",Fulda-VEP-2018.pdf_1
87,19:2,2,,Fulda-VEP-2018.pdf,"citizens and wider public, city walks / city tours, experts-practitioners-planers, feedback / discussion, ",Fulda-VEP-2018.pdf_2
88,19:3,3,,Fulda-VEP-2018.pdf,"citizens and wider public, feedback / discussion, online platform, young and children",Fulda-VEP-2018.pdf_3
89,19:4,4,,Fulda-VEP-2018.pdf,"consultants, ",Fulda-VEP-2018.pdf_4
90,21:1,1,"Prozessbegleitend wurde intensiv mit der Verwaltung und weiteren wichti- gen städtischen Akteuren zusammengearbeitet. Im Rahmen einer Len- kungsgruppe waren folgende Akteure bzw. Institutionen in den Planungs- prozess eingebunden:
- Stadtverwaltung mit Bürgermeister; Tiefbauamt; Stadtplanungsamt; Garten-, Park- und Friedhofsamt; Wirtschaftsförderung; Sicherheits- und Ordnungsverwaltung
- Stadträte
- Polizei
- Thüringer Waldbahn und Straßenbahn Gotha GmbH
- Regionale Verkehrsgemeinschaft Gotha GmbH
- Omnibusbetrieb Steinbrück
- Verkehrsverbund Mittelthüringen
- Allgemeiner Deutscher Fahrradclub
- Verband der Behinderten Kreisverband Gotha
- Straßenbauamt Mittelthüringen
- Stadtwerke Gotha
- Fachgruppe Innenstadt / Gewerbeverein Gotha
Insgesamt wurden 5 Lenkungsgruppentermine durchgeführt. Darüber hin- aus fanden zwei Vorabinformationen im Bauausschuss sowie eine Vielzahl verwaltungsinterner Beratungen statt.
Die Lenkungsgruppentreffen waren sowohl für das Projektmanagement als auch für den frühzeitigen fachlichen Austausch wichtig.",Gotha-VEP-2016.pdf,"Committees representing public interests, decision-makers / political authorities, experts-practitioners-planers, feedback / discussion, municipal employees / members of the public administration, transport providers and operators / public services like energy, working group",Gotha-VEP-2016.pdf_1
91,21:2,2,Parallel wurde auch die Bevölkerung im Rahmen von zwei Öffentlichkeits- veranstaltungen in den Planungsprozess einbezogen. In der ersten Veran- staltung konnten aufbauend auf der gutachterlichen Einschätzung der Be- standssituation im Rahmen von Arbeitsgruppen Rückmeldungen gegeben,Gotha-VEP-2016.pdf,"citizens and wider public, exhibition / event / presentation, feedback / discussion, ",Gotha-VEP-2016.pdf_2
92,21:3,3,"SVU Dresden
Planungsbüro Dr. Ditmar Hunger Büroinhaber: Dipl.-Ing. Tobias Schönefeld Gottfried-Keller-Str. 24, 01157 Dresden Fon: 0351-422 11 96,
Fax: 0351-422 11 98
Mail: info@svu-dresden.de
Web: www.svu-dresden.de",Gotha-VEP-2016.pdf,"consultants, ",Gotha-VEP-2016.pdf_3
93,22:1,1,"Dialogorientiert
Die Erstellung des Mobilitätskonzeptes verfolgte einen dialogorientierten Ansatz. Im Verfahren sind Vorschläge der Bürgerinnen und Bürger, der Politik, der Institutionen und Verbände frühzeitig in den Prozess eingeflossen und auf ihre Umsetzbarkeit geprüft worden.",Greven-Mobilität-2016.docx,"citizens and wider public, decision-makers / political authorities, networks and associations, political actors / district committees, social organisations / public interest groups, ",Greven-Mobilität-2016.docx_1
94,22:2,2,Unterstützt wurde die Stadt Greven dabei von dem Dortmunder Planungsbüro Planersocietät.,Greven-Mobilität-2016.docx,"consultants, municipal employees / members of the public administration, ",Greven-Mobilität-2016.docx_2
95,23:1,1,"Die Bürger werden in Planungsprozesse unmittelbar ein- bezogen durch Mitarbeit im Arbeitskreis Verkehrsentwick- lungsplan (VEP) Halle (Saale) 2025, öffentliche Bürgerver- sammlungen und interaktive Medien",Halle-Stadtmobilitätsplan-2018.pdf,"citizen workshop / citizen forum, citizens and wider public, feedback / discussion, ideation / innovation, ",Halle-Stadtmobilitätsplan-2018.pdf_1
96,23:2,2,"Stadt Halle (Saale)
Der Oberbürgermeister V.i.S.d.P.: Drago Bock
Verantwortlich:
Geschäftsbereich Stadtentwicklung und Umwelt
Beigeordneter René Rebenstorf
Text, Redaktion:
Fachbereich Planen Abteilung Verkehr Ingenieurbüro IVAS, Dresden
Fotos:
Hendryk Hesse S. 15 und 32,
Ralf Bucher S. 19, 23 und 24,
Stadt Halle (Saale), Thomas Ziegler, Abteilung Verkehr, Dirk Ohm
Gestaltung:
griot communications
Stand Juli 2019",Halle-Stadtmobilitätsplan-2018.pdf,"consultants, municipal employees / members of the public administration, researchers, ",Halle-Stadtmobilitätsplan-2018.pdf_2
97,24:1,1,Konsensbildung ist daher ein notwendiges Ziel und hat sich – in sogenannten kooperativen Planungsprozes- sen – auf der Ebene der gesamtstädtischen Mobilitätsplanung bewährt.,Hannover-Masterplan-Mobilität-2010.pdf,envisioning / common ground,Hannover-Masterplan-Mobilität-2010.pdf_1
98,24:2,1,"Die Erarbeitung des Masterplans Mobili- tät wurde von einer Gruppe aus Politik, Ver- waltung und Interessenvertretern begleitet, um im Ausgleich der Interessen einen Kon- sens zu ermöglichen, der als Empfehlung in den Abstimmungs- und Entscheidungspro- zess der politischen Gremien eingeht. Die Beteiligung der örtlichen Akteure stellt zu- gleich sicher, dass der vor Ort vorhandene Sachverstand in die Planung einfließ",Hannover-Masterplan-Mobilität-2010.pdf,"decision-makers / political authorities, envisioning / common ground, experts-practitioners-planers, municipal employees / members of the public administration, political actors / district committees, regional actors, social organisations / public interest groups, working group",Hannover-Masterplan-Mobilität-2010.pdf_1
99,24:3,2,"obilitätsforum
Das extern moderierte Mobilitätsforum setzte sich aus etwa 40 Personen zusam- men, die in hoher Kontinuität an 12 Sitzun- gen in einem Rhythmus von ca. vier bis acht Wochen gearbeitet haben. Basis der Zusammenarbeit waren Arbeitsvereinba- rungen, die in der konstituierenden Sitzung einvernehmlich angenommen wurden.",Hannover-Masterplan-Mobilität-2010.pdf,"citizen workshop / citizen forum, citizens and wider public, ideation / innovation",Hannover-Masterplan-Mobilität-2010.pdf_2
100,24:4,3,"Arbeitsgruppe der Verwaltung
Die Arbeitsgruppe der Verwaltung setzte sich zusammen aus Mitarbeiterinnen und Mitarbeitern des federführenden Fachbe- reiches Planen und Stadtentwicklung, der Fachbereiche Tiefbau, Umwelt und Stadt- grün sowie Wirtschaft. Ferner waren in die Arbeitsgruppe Vertreter der Regionsverwal- tung und der Verkehrsbetriebe einbezogen. Die Arbeitsgruppe hatte die Aufgabe, den Planungs- und Beteiligungsprozess konzep- tionell voranzutreiben, die Abfolge und die Inhalte des Mobilitätsforums vorzubereiten, die interne Abstimmung einzuleiten und die notwendige Verknüpfung mit den Fachbe- reichen zu gewährleisten.",Hannover-Masterplan-Mobilität-2010.pdf,"Iterative co-creation process, municipal employees / members of the public administration, project management, working group",Hannover-Masterplan-Mobilität-2010.pdf_3
101,24:5,4,,Hannover-Masterplan-Mobilität-2010.pdf,"municipal employees / members of the public administration, ",Hannover-Masterplan-Mobilität-2010.pdf_4
102,25:1,1,"Herausgeber:
Stadt Heidelberg
Amt für Verkehrsmanagement Amt für Umweltschutz, Gewerbeaufsicht und Energie Marktplatz 10
69117 Heidelberg
In Zusammenarbeit mit:
Verkehrsverbund Rhein- Neckar GmbH
B1 3-5
68159 Mannheim
Bearbeitung durch:
DB Engineering & Consulting GmbH
Köpenicker Straße 31 10179 Berlin
Masterplan „Nachhaltige Mobilität für die Stadt“ Green City Plan
Stadtverwaltung Ludwigshafen
Bereich Umwelt Bismarckstraße 29
67059 Ludwigshafen am Rhein
Stadt Mannheim
Dezernat I Rathaus E5 68159 Mannheim
Rhein-Neckar-Verkehr GmbH
Möhlstraße 27 68165 Mannheim
Metropolregion Rhein- Neckar GmbH
M1, 4-5
68161 Mannheim
Dieser Masterplan wurde im Rahmen des Sofortprogramms Saubere Luft 2017-2020 durch das Bundesministerium für Verkehr und digitale Infrastruktur im Forschungsprogramm Automatisierung und Vernetzung im Straßenverkehr – Sonderprogramm „Masterplan nachhaltige Mobilität mit über 570.000 Euro gefördert.
AVISO GmbH
Am Hasselholz 15 D-52074 Aachen",Heidelberg-ludwigshafen-mannheim-green-2018.pdf,"consultants, municipal employees / members of the public administration, regional actors, ",Heidelberg-ludwigshafen-mannheim-green-2018.pdf_1
103,26:1,1,"Firstly, a forum was set up to include selected stakeholders representing all of the relevant groups and institutions throughout the city. These included:
• initiatives, environmental organizations and stakeholders,
• transport associations and transport users,
• major employers,",Karlsruhe-Sump-2012.pdf,"Committees representing public interests, decision-makers / political authorities, expert forum / expert workshop, feedback / discussion, municipal employees / members of the public administration, networks and associations, private business / economy, transport providers and operators / public services like energy, users, working group",Karlsruhe-Sump-2012.pdf_1
104,26:2,2,,Karlsruhe-Sump-2012.pdf,"citizen workshop / citizen forum, citizens and wider public, communication / transparency",Karlsruhe-Sump-2012.pdf_2
105,26:3,3,Öf­f­entliche Veranstaltungen wie z.B. das Stadtbauf­orum und ein Internetauf­tritt (www.karlsruhe.de/verkehrsent- wicklung) ergänzen das Inf­ormations- und Betei- ligungsangebot,Karlsruhe-Sump-2012.pdf,"citizens and wider public, communication / transparency, press / marketing / public relations / communication",Karlsruhe-Sump-2012.pdf_3
106,26:4,4,,Karlsruhe-Sump-2012.pdf,"municipal employees / members of the public administration, ",Karlsruhe-Sump-2012.pdf_4
107,27:1,1,,Kassell-Sump-2018.pdf,"decision-makers / political authorities, project management, working group",Kassell-Sump-2018.pdf_1
108,27:2,2,,Kassell-Sump-2018.pdf,"Committees representing public interests, decision-makers / political authorities, expert forum / expert workshop, feedback / discussion, municipal employees / members of the public administration, networks and associations, ",Kassell-Sump-2018.pdf_2
109,27:3,3,,Kassell-Sump-2018.pdf,"citizens and wider public, communication / transparency, stalls / market fairs",Kassell-Sump-2018.pdf_3
110,27:4,4,,Kassell-Sump-2018.pdf,"citizen workshop / citizen forum, citizens and wider public, feedback / discussion, ",Kassell-Sump-2018.pdf_4
111,27:5,5,,Kassell-Sump-2018.pdf,"Committees representing public interests, feedback / discussion, survey",Kassell-Sump-2018.pdf_5
112,27:6,6,,Kassell-Sump-2018.pdf,"citizen workshop / citizen forum, communication / transparency, young and children",Kassell-Sump-2018.pdf_6
113,27:7,7,,Kassell-Sump-2018.pdf,"citizens and wider public, communication / transparency, online communication, ",Kassell-Sump-2018.pdf_7
114,27:8,8,,Kassell-Sump-2018.pdf,"communication / transparency, exhibition / event / presentation, political actors / district committees, ",Kassell-Sump-2018.pdf_8
115,27:9,9,,Kassell-Sump-2018.pdf,"researchers, ",Kassell-Sump-2018.pdf_9
116,28:1,1,"Dieses Verfahren wurde im Jahr 2011 mit einer Ana- lysephase eingeleitet, deren Gegenstand der erreichte Stand der Umsetzung der 2003 beschlos- senen Grundsätze und Leitlinien war. Die Ergeb- nisse der Analyse sowie – daraus abgeleitet – erste Vorschläge zum Fortschreibungsbedarf wurden in der Broschüre „Mobilität 2020 - STEP Verkehr und öffentlicher Raum - Grundlagen für die Fortschrei- bung‘‘ veröffentlicht und ins Internet gestellt.",Leipzig -SUMP-2015.pdf,"citizens and wider public, communication / transparency, online communication, press / marketing / public relations / communication",Leipzig -SUMP-2015.pdf_1
117,28:2,2,"Am Runden Tisch wurden unter Beteiligung der Stadtratsfraktionen, von im Verkehrsbereich enga- gierten Interessengruppen und Bürgervereinen sowie von Vertretern der Verwaltung und der Ver- kehrsbetriebe in sieben moderierten Arbeitssit- zungen unter Einbeziehung von fachlichen Experten themenbezogene Leitlinien für den neuen Stadtent- wicklungsplan diskutiert und erarbeitet.",Leipzig -SUMP-2015.pdf,"Committees representing public interests, experts-practitioners-planers, feedback / discussion, municipal employees / members of the public administration, networks and associations, political actors / district committees, round table, transport providers and operators / public services like energy",Leipzig -SUMP-2015.pdf_2
118,28:3,3," Parallel dazu wurden von renommierten Wissen- schaftlern neun Fachgutachten zu folgenden aktu- ellen verkehrlichen Fragestellungen erstellt: Alterna- tive Mobilitätsformen, Mobilitätsmanagement, Bedeutung des Wirtschaftsverkehrs, Finanzierung des ÖPNV, Fußverkehr, Umwelt- und Gesundheits- schutz, Zukunftsfähigkeit des Tangenten-/ Ring- systems, Integrierte Stadtentwicklung, Lebensraum Straße. Die Fachgutachten wurden in einer Broschüre zusammengestellt und im Internet veröffentlicht.",Leipzig -SUMP-2015.pdf,"advisory board, feedback / discussion, researchers, ",Leipzig -SUMP-2015.pdf_3
119,28:4,4,"Ebenfalls parallel wurde der Bürgerwettbewerb „Ideen für den Stadtverkehr“ durchgeführt. Mit 618 Ideenvorschlägen in 382 Beiträgen bewiesen die Leipziger ihr Engagement für Verkehrsfragen, glei- chermaßen auf gesamtstädtischer wie auf Stadtteil- und auf Quartiersebene. In einer weiterführenden Konzeptphase wurden die von einer aus Fachleuten, Politikern und ausgelosten Bürgern zusammenge- setzten Jury prämierten Ideen in fachlich begleiteten thematischen Workshops mit den Einreichern kon- zeptionell weiterentwickelt und vertieft",Leipzig -SUMP-2015.pdf,"citizen contest, citizens and wider public, ideation / innovation",Leipzig -SUMP-2015.pdf_4
120,28:5,5,"Weiterhin wurde von den Mitgliedern des Runden Tischs, den Fachgutachtern und den Teilnehmern des Ideenwettbewerbs, zuletzt in den Bürgerwork- shops, eine Vielzahl von Maßnahmen zur Umset- zung verkehrlicher Zielvorstellungen vorgeschlagen",Leipzig -SUMP-2015.pdf,"citizen workshop / citizen forum, citizens and wider public, ideation / innovation",Leipzig -SUMP-2015.pdf_5
121,28:6,6,"Moderierte Workshops oder sich mehrfach treffende Arbeits- gremien oder Interessenforen werden z. B. auf Ein- ladung der lokalen Magistralenräte oder auf Anforde- rung aus dem politischen Raum einberufen, um Planungen, die Bautechnologie oder Umleitungs- führungen während der Bauzeit zu beraten. Hierbei gilt, je früher der Beteiligungsprozess beginnt, desto günstiger sind die Möglichkeiten, Bürgerbelange zu berücksichtigen und die Planung bzw. deren Umset- zung zu verbessern.",Leipzig -SUMP-2015.pdf,"citizen workshop / citizen forum, citizens and wider public, feedback / discussion, increase user acceptance / legitimacy, ",Leipzig -SUMP-2015.pdf_6
122,28:7,7,Auf diese Weise lassen sich recht- zeitig mögliche Interessenlagen erkennen und bes- ser in der weiteren Planung berücksichtigen. Das Internet hat sich hierbei für die interessierten Bürger als geeignetes Medium zur Kommunikation der Planungsschritte und -phasen in Leipzig bewährt.,Leipzig -SUMP-2015.pdf,"citizens and wider public, feedback / discussion, online communication, ",Leipzig -SUMP-2015.pdf_7
123,28:8,6,"em gegenüber stehen die oft langen Planungs- vorläufe bei komplexen Vorhaben, während das Interesse und Engagement der Planungsbetroffenen oft erst mit der in Aussicht stehenden Realisierung ansteigt. Hier sind bei zukünftigen Beteiligungsver- fahren neue Schwerpunkte bei der Planungsvermitt- lung zu setzen, indem beispielsweise schon Planungsabsichten in geeigneten Verfahren frühzei- tig mit den zukünftig von der Planung Betroffenen erörtert werden",Leipzig -SUMP-2015.pdf,"increase user acceptance / legitimacy, ",Leipzig -SUMP-2015.pdf_6
124,28:9,8,"Stadt Leipzig,
Dezernat Stadtentwicklung und Bau
Redaktion:
Verkehrs- und Tiefbauamt
Edeltraut Höfer, Torben Heinemann, Stephan Rausch, Dr. Dieter Auspurg, Andreas Forkert, Cornelia Kreymann
Bearbeitung: Spath + Nagel
Fotos und Abbildungen (soweit nicht angegeben): Stadt Leipzig, Spath + Nagel
Druck: Friedrich Pöge, Leipzig
Redaktionsschluss: 29. Mai 2015
 ",Leipzig -SUMP-2015.pdf,"consultants, municipal employees / members of the public administration, ",Leipzig -SUMP-2015.pdf_8
125,29:1,1,,Passau-VEP-2012.pdf,"consultants, ",Passau-VEP-2012.pdf_1
126,30:1,1,"Verkehrsentwicklungsplan Pforzheim 2020 Öffentlichkeitsbeteiligung
",Pforzheim 2020-VEP.pdf,"citizens and wider public, communication / transparency, online communication, ",Pforzheim 2020-VEP.pdf_1
127,30:2,2,"Pforzheim 24. Juni 2009 Jörg Müller, Forumssprecher
",Pforzheim 2020-VEP.pdf,"municipal employees / members of the public administration, ",Pforzheim 2020-VEP.pdf_2
128,31:1,1,as gesamte Verfahren wurde zusammen mit den Bürgerinnen und Bürgern sowie den politischen Vertretern und weiteren Interessensvertretern der Verkehrsentwicklungsplanung in einem dia- logorientierten Prozess erarbeitet. Dazu fanden mehrere Veranstaltungen statt.,Soest-VEK-2016.pdf,"citizens and wider public, decision-makers / political authorities, exhibition / event / presentation, feedback / discussion, non defined stakeholders, ",Soest-VEK-2016.pdf_1
129,31:2,2,Eine Zukunftsmesse Verkehr im Januar 2015 fungierte als Auftaktveranstaltung zur Bürgerbeteili- gung und ermöglichte es den Bürgerinnen und Bürgern ihre Anregungen und Kritik persönlich in den Planungsprozess einzubringen (vgl. Anhang A). ,Soest-VEK-2016.pdf,"citizens and wider public, feedback / discussion, scenario development, stalls / market fairs",Soest-VEK-2016.pdf_2
130,31:3,3,"Der Partizipationsprozess wurde im Mai 2015 durch zwei öffentliche Planungsradtouren mit Vertreter/innen der Stadtverwaltung und des Gut- achterbüros fortgesetzt, hierbei konnten konkret und vor Ort über beispielhafte Mängel und Chancen diskutiert werden (vgl. Anhang C)",Soest-VEK-2016.pdf,"citizens and wider public, city walks / city tours, communication / transparency",Soest-VEK-2016.pdf_3
131,31:4,4,"Mit einer Veranstaltung im September 2015 zu den entwickelten Handlungsstrategien, Maßnahmen und Zielen des VEP wurde die öffentliche Bürger- beteiligung für den Planungsprozess abgeschlossen (vgl. Anhang D",Soest-VEK-2016.pdf,"citizens and wider public, communication / transparency, exhibition / event / presentation, ",Soest-VEK-2016.pdf_4
132,31:5,5,Prozessbegleitend wurden In- formationen zu Zwischenergebnissen und Dokumentationen zu Veranstaltungen auf der Home- page der Stadt Soest (www.soest.de/verkehrsentwicklungsplan) veröffentlicht. Darüber hinaus bestand die Möglichkeit per Email (verkehrsentwickungsplan@soest.de) Anregungen zum VEP einzubringen.,Soest-VEK-2016.pdf,"citizens and wider public, communication / transparency, feedback / discussion, online communication",Soest-VEK-2016.pdf_5
133,31:6,6,"Auftragnehmer:
Planersocietät – Stadtplanung, Verkehrsplanung, Kommunikation Dr.-Ing. Frehn, Steinberg Partnerschaft
Stadt- und Verkehrsplaner
Gutenbergstraße 34
44139 Dortmund
Fon: 0231/589696-0 Fax: 0231/589696-18
www.planersocietaet.de
Bearbeitung:
Dr. Michael Frehn
Dipl.-Ing. Anne Mechels
Dipl.-Ing. Sebastian Schröder-Dickreuter",Soest-VEK-2016.pdf,"consultants, ",Soest-VEK-2016.pdf_6
134,32:1,1,"Ingenieurbüro für Verkehrsanlagen und -systeme Alaunstraße 9, 01099 Dresden
Tel.: 0351-2 11 14-0, E-Mail: dresden@ivas-ingenieure.de",Stadt Brandenburg-VEP-2017.pdf,"consultants, researchers, ",Stadt Brandenburg-VEP-2017.pdf_1
